company_name,company_website,company_state,carrier_appointments_count,headcount,specialty_lines,first_name,last_name,title,linkedin_url,email_guess,email_verified,email_sent_at,email_variant,linkedin_connected_at,linkedin_dm_at,replied_at,call_booked_at,outcome,notes
# --- HOW TO USE -----------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
# 1. Open in Excel or Google Sheets. Delete these comment rows before importing anywhere.,,,,,,,,,,,,,,,,,,,
# 2. Source ICP from THREE places (in priority order):,,,,,,,,,,,,,,,,,,,
#    (a) IIABA member directory: https://www.iiaba.net (filter: Excess & Surplus Lines members or MGA members),,,,,,,,,,,,,,,,,,,
#    (b) WSIA (Wholesale & Specialty Insurance Association) member list: https://www.wsia.org,,,,,,,,,,,,,,,,,,,
#    (c) LinkedIn Sales Nav search query: Industry='Insurance' AND Company headcount '11-200' AND Keywords='MGA' OR 'wholesale broker' OR 'program administrator' OR 'managing general agent',,,,,,,,,,,,,,,,,,,
# 3. Target ICP shape (qualify on these 4 criteria; reject if any is missing):,,,,,,,,,,,,,,,,,,,
#    - Specialty insurance MGA / wholesaler / program admin (NOT retail agency),,,,,,,,,,,,,,,,,,,
#    - Headcount 15-200 (sweet spot 30-100),,,,,,,,,,,,,,,,,,,
#    - Appointed at 20+ carriers (proxy: 'Carrier Partners' or 'Markets' page on their website lists 20+ logos),,,,,,,,,,,,,,,,,,,
#    - Licensed in 10+ states (proxy: NIPR registration check or website footer disclosures),,,,,,,,,,,,,,,,,,,
# 4. Decision-maker title in priority order: COO > VP Operations > Director of Operations > Producer Operations Manager > President (if <30 employees),,,,,,,,,,,,,,,,,,,
# 5. Email-format guess priority: firstname.lastname@domain > firstname@domain > flastname@domain. Verify with Hunter.io free tier (25/mo) or NeverBounce free tier.,,,,,,,,,,,,,,,,,,,
# 6. SEED EXAMPLES below are illustrative shape (NOT real prospects to email blindly). Replace with real research.,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
EXAMPLE: Burns & Wilcox,burnsandwilcox.com,MI,~200,~1500,E&S specialty,EXAMPLE_FIRST,EXAMPLE_LAST,Director of Producer Operations,https://linkedin.com/in/EXAMPLE,first.last@burnsandwilcox.com,,,,,,,,(too large - illustrative only),
EXAMPLE: Worldwide Facilities,wwfi.com,CA,~80,~300,wholesale E&S,EXAMPLE_FIRST,EXAMPLE_LAST,COO,https://linkedin.com/in/EXAMPLE,,,,,,,,,(illustrative),
EXAMPLE: Atlantic Specialty Lines,atlanticspecialtylines.com,FL,~30,~25,coastal property,EXAMPLE_FIRST,EXAMPLE_LAST,President,https://linkedin.com/in/EXAMPLE,,,,,,,,,(closer to target shape),
EXAMPLE: One80 Intermediaries,one80intermediaries.com,MA,~150,~1000,multi-line specialty,EXAMPLE_FIRST,EXAMPLE_LAST,VP Operations,https://linkedin.com/in/EXAMPLE,,,,,,,,,(borderline - large but distributed),
EXAMPLE: ICW Group programs,icwgroup.com,CA,~60,~600,workers comp + specialty,EXAMPLE_FIRST,EXAMPLE_LAST,Director of Operations,https://linkedin.com/in/EXAMPLE,,,,,,,,,(illustrative),
# ----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
# Replace rows below with your real Day 1-2 prospect research. Aim for 30 by end of Day 2.,,,,,,,,,,,,,,,,,,,
# ----------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
